Merit,Dept.-Univ.
404,EEE-KUET
405,CSE-CUET
406,EEE-CUET
407,CSE-CUET
409,EEE-RUET
411,EEE-CUET
412,CSE-KUET
413,CSE-KUET
414,EEE-CUET
415,ME-KUET
416,EEE-KUET
417,EEE-KUET
418,EEE-KUET
419,CSE-RUET
420,CSE-KUET
422,EEE-KUET
423,ME-KUET
424,EEE-KUET
426,CSE-CUET
427,CSE-RUET
428,CSE-KUET
430,EEE-KUET
432,EEE-KUET
433,CSE-KUET
434,CSE-KUET
435,EEE-KUET
436,ME-KUET
437,EEE-CUET
438,EEE-KUET
439,EEE-CUET
440,EEE-KUET
441,ME-KUET
442,EEE-KUET
444,EEE-KUET
445,EEE-KUET
446,EEE-KUET
447,CSE-CUET
448,CSE-RUET
449,EEE-CUET
450,EEE-KUET
451,CSE-KUET
452,EEE-CUET
453,CSE-KUET
455,CSE-KUET
456,EEE-KUET
458,EEE-KUET
459,EEE-KUET
461,EEE-CUET
462,EEE-CUET
463,EEE-KUET
464,CSE-KUET
465,EEE-KUET
467,EEE-KUET
468,CSE-CUET
469,CSE-KUET
470,CSE-KUET
471,CSE-KUET
472,CSE-KUET
473,CSE-RUET
475,CSE-RUET
477,EEE-RUET
478,EEE-KUET
479,CSE-RUET
480,CSE-CUET
482,EEE-KUET
483,CSE-RUET
485,EEE-CUET
486,CE-KUET
487,CSE-RUET
488,EEE-RUET
489,CSE-RUET
491,CSE-RUET
492,EEE-RUET
493,CSE-RUET
494,ME-KUET
495,EEE-RUET
496,EEE-RUET
497,ME-KUET
499,CE-KUET
500,EEE-CUET
501,CSE-CUET
502,CSE-CUET
504,ME-KUET
505,EEE-RUET
506,CSE-CUET
508,EEE-CUET
509,CE-KUET
510,ME-KUET
511,CSE-RUET
514,EEE-RUET
515,ME-CUET
516,CE-KUET
517,EEE-RUET
520,CSE-RUET
521,ME-KUET
522,CSE-RUET
523,CSE-RUET
524,CE-KUET
525,CSE-CUET
526,CSE-RUET
527,CSE-RUET
528,CSE-RUET
529,CSE-CUET
530,CSE-RUET
531,EEE-CUET
533,ME-KUET
534,EEE-CUET
535,CSE-RUET
536,ME-KUET
537,ME-KUET
538,EEE-CUET
540,CSE-RUET
541,EEE-CUET
542,EEE-RUET
543,CSE-RUET
544,CSE-CUET
545,ME-KUET
546,EEE-RUET
547,EEE-CUET
548,EEE-CUET
549,EEE-RUET
550,CSE-RUET
551,CE-KUET
552,EEE-RUET
553,CE-KUET
554,CSE-RUET
555,CSE-RUET
556,CSE-RUET
558,EEE-CUET
559,CSE-RUET
561,CSE-RUET
562,CSE-CUET
563,CSE-RUET
564,CSE-RUET
565,ME-CUET
566,CSE-CUET
567,EEE-RUET
568,CSE-RUET
569,CE-KUET
570,CSE-RUET
571,CE-KUET
572,EEE-RUET
573,CHE-KUET
574,EEE-CUET
575,CSE-RUET
576,CSE-RUET
577,CSE-CUET
578,CSE-RUET
580,EEE-RUET
581,ME-CUET
582,ME-KUET
583,EEE-RUET
584,CSE-RUET
585,ME-KUET
588,ME-KUET
589,CSE-CUET
590,CSE-CUET
591,ME-KUET
593,ME-KUET
594,EEE-RUET
595,CSE-CUET
597,EEE-CUET
599,ME-KUET
600,ME-KUET
601,CSE-RUET
602,EEE-RUET
603,EEE-RUET
605,ME-KUET
607,ME-KUET
608,EEE-RUET
611,EEE-CUET
612,CSE-RUET
613,EEE-RUET
614,CSE-CUET
615,EEE-CUET
616,CSE-CUET
617,CSE-CUET
618,ME-KUET
619,CE-KUET
620,ME-CUET
621,CSE-RUET
623,CSE-CUET
625,CSE-CUET
626,ME-KUET
627,EEE-RUET
628,EEE-CUET
630,CSE-RUET
631,CE-KUET
632,CE-KUET
633,ME-CUET
634,EEE-RUET
635,EEE-CUET
637,EEE-RUET
639,CSE-RUET
640,EEE-CUET
641,CSE-RUET
642,EEE-RUET
643,EEE-CUET
644,EEE-CUET
645,EEE-RUET
646,CSE-CUET
647,CSE-RUET
648,EEE-CUET
649,ME-KUET
650,CSE-CUET
651,CSE-RUET
652,MTE-KUET
653,EEE-CUET
658,ME-KUET
659,CSE-CUET
660,CSE-RUET
661,EEE-RUET
662,EEE-CUET
663,EEE-RUET
664,EEE-RUET
665,CHE-KUET
666,CSE-CUET
667,CSE-CUET
668,EEE-RUET
669,EEE-RUET
671,EEE-RUET
672,EEE-CUET
673,EEE-CUET
674,EEE-CUET
675,EEE-RUET
676,CSE-CUET
677,CSE-CUET
678,CE-KUET
680,CSE-CUET
681,CSE-RUET
683,ME-KUET
686,EEE-CUET
688,ME-KUET
689,ME-KUET
690,ME-KUET
691,ME-KUET
692,CSE-RUET
693,CSE-RUET
694,CSE-RUET
695,CSE-CUET
697,ME-KUET
698,ME-KUET
699,CSE-RUET
700,ME-KUET
702,ME-KUET
703,EEE-CUET
704,CSE-CUET
705,ME-RUET
707,CSE-RUET
708,EEE-RUET
709,CSE-RUET
710,CE-KUET
711,ME-KUET
712,CSE-CUET
713,EEE-CUET
714,EEE-CUET
715,ME-KUET
716,ME-KUET
717,EEE-CUET
718,CSE-RUET
719,ME-KUET
720,ME-KUET
722,EEE-RUET
723,CSE-CUET
724,EEE-RUET
725,ECE-KUET
726,CSE-CUET
727,CSE-RUET
728,CSE-RUET
729,EEE-RUET
730,EEE-RUET
731,EEE-RUET
732,EEE-RUET
733,ME-KUET
734,CSE-CUET
735,CSE-RUET
737,CSE-CUET
738,ME-KUET
739,EEE-RUET
741,EEE-RUET
742,EEE-CUET
743,CSE-RUET
745,CSE-RUET
746,CSE-CUET
747,CE-RUET
749,CSE-RUET
750,CSE-RUET
753,CSE-CUET
754,CE-KUET
755,EEE-RUET
756,CE-KUET
757,CSE-RUET
758,EEE-CUET
759,EEE-RUET
760,ME-KUET
761,CSE-RUET
762,CE-KUET
763,CSE-RUET
764,EEE-RUET
765,ME-KUET
766,CSE-RUET
767,EEE-CUET
768,CSE-RUET
769,BME-CUET
770,CSE-CUET
771,EEE-RUET
772,EEE-CUET
773,CSE-RUET
774,EEE-RUET
775,ME-KUET
776,EEE-RUET
777,CE-KUET
779,CSE-CUET
780,ECE-KUET
782,EEE-RUET
784,CE-KUET
785,EEE-CUET
786,CSE-CUET
787,CE-KUET
788,ME-KUET
789,EEE-RUET
791,EEE-RUET
792,CE-KUET
793,EEE-RUET
794,CSE-CUET
795,CE-KUET
796,CSE-RUET
797,ME-KUET
799,EEE-CUET
800,IEM-KUET
801,ME-KUET
802,ME-KUET
803,EEE-CUET
804,ME-KUET
805,CSE-RUET
806,CSE-RUET
808,CSE-RUET
809,EEE-RUET
811,EEE-CUET
812,EEE-RUET
813,CSE-RUET
814,EEE-CUET
816,CSE-CUET
818,ME-KUET
819,ME-KUET
820,CSE-RUET
821,ME-KUET
822,EEE-RUET
824,CSE-CUET
825,EEE-CUET
826,CE-KUET
827,ME-KUET
828,CSE-RUET
831,EEE-RUET
833,ME-KUET
835,CE-KUET
836,ME-KUET
837,EEE-CUET
838,CE-CUET
839,EEE-CUET
841,EEE-RUET
842,CSE-RUET
843,CE-KUET
845,CSE-RUET
846,EEE-CUET
847,BME-KUET
848,EEE-RUET
850,CE-KUET
851,ME-KUET
852,EEE-CUET
853,ECE-KUET
854,CSE-CUET
856,CSE-CUET
857,ME-KUET
859,ME-KUET
860,EEE-RUET
861,EEE-CUET
862,ME-CUET
863,CSE-RUET
864,CSE-CUET
865,CSE-RUET
866,CSE-CUET
867,CSE-RUET
869,EEE-RUET
870,CSE-CUET
871,EEE-RUET
872,EEE-CUET
873,ME-KUET
874,EEE-CUET
875,CSE-RUET
876,ME-KUET
877,EEE-RUET
880,CSE-RUET
881,CSE-RUET
882,EEE-CUET
883,CSE-RUET
884,CSE-CUET
886,CE-KUET
887,ME-CUET
888,CSE-RUET
889,ME-KUET
890,CE-KUET
891,EEE-RUET
893,EEE-RUET
894,EEE-RUET
895,CSE-RUET
896,CSE-RUET
897,CSE-RUET
898,EEE-RUET
899,ME-KUET
900,ME-KUET
901,CSE-RUET
902,EEE-CUET
903,CSE-RUET
904,ME-KUET
905,ME-KUET
906,EEE-RUET
907,CSE-CUET
908,CSE-RUET
909,ME-KUET
910,CSE-RUET
911,CSE-RUET
913,EEE-RUET
914,ME-RUET
915,CE-KUET
916,CSE-CUET
917,EEE-CUET
918,CSE-CUET
920,CSE-CUET
921,CE-KUET
922,CSE-CUET
923,EEE-RUET
924,ME-KUET
925,ECE-KUET
926,EEE-CUET
928,EEE-RUET
929,CSE-CUET
930,ECE-KUET
931,EEE-CUET
932,EEE-RUET
934,CSE-RUET
935,CE-KUET
936,ECE-KUET
937,EEE-RUET
938,ME-KUET
939,EEE-RUET
940,ME-KUET
941,CSE-RUET
942,CSE-RUET
943,CE-KUET
944,EEE-RUET
945,EEE-CUET
946,EEE-RUET
947,CSE-RUET
948,CSE-RUET
949,CSE-RUET
950,CSE-RUET
951,ME-KUET
952,CSE-RUET
953,ME-KUET
954,EEE-CUET
955,EEE-CUET
956,ME-KUET
957,CSE-RUET
958,CSE-RUET
960,CSE-CUET
963,CSE-CUET
965,CSE-RUET
966,CSE-RUET
967,EEE-CUET
968,CE-KUET
969,CSE-CUET
970,EEE-RUET
971,EEE-RUET
973,EEE-RUET
975,CSE-RUET
978,ME-KUET
979,EEE-RUET
981,EEE-RUET
982,EEE-CUET
983,EEE-CUET
985,EEE-RUET
986,CSE-RUET
987,EEE-CUET
988,CSE-RUET
989,EEE-RUET
990,ESE-KUET
991,EEE-CUET
992,EEE-CUET
993,CSE-CUET
994,CSE-RUET
995,CSE-RUET
997,EEE-CUET
998,ME-CUET
999,EEE-RUET
1000,ME-KUET
1001,ME-KUET
1002,EEE-RUET
1003,EEE-RUET
1004,ECE-KUET
1005,CSE-CUET
1006,CSE-RUET
1007,EEE-CUET
1008,CSE-CUET
1009,CE-KUET
1010,CSE-CUET
1011,EEE-CUET
1012,CSE-CUET
1013,CSE-RUET
1015,CSE-RUET
1016,CE-KUET
1019,ME-KUET
1020,EEE-RUET
1021,EEE-CUET
1022,CE-KUET
1023,CSE-CUET
1024,CSE-CUET
1025,EEE-CUET
1026,CSE-CUET
1027,ME-CUET
1028,EEE-RUET
1029,EEE-CUET
1033,ME-KUET
1034,EEE-RUET
1036,CSE-CUET
1037,CSE-CUET
1038,EEE-CUET
1039,ME-KUET
1040,CSE-CUET
1041,EEE-RUET
1042,CSE-RUET
1043,ME-KUET
1045,EEE-RUET
1046,ME-KUET
1047,CSE-RUET
1048,MIE-CUET
1049,ME-KUET
1050,CSE-RUET
1051,CSE-RUET
1052,EEE-CUET
1053,CSE-RUET
1054,BME-KUET
1055,EEE-RUET
1056,EEE-CUET
1057,CSE-RUET
1058,CSE-CUET
1059,CSE-RUET
1061,EEE-CUET
1064,CSE-CUET
1065,EEE-RUET
1066,CSE-CUET
1068,EEE-CUET
1069,CSE-RUET
1070,CSE-CUET
1071,ME-CUET
1073,CSE-CUET
1074,ME-KUET
1075,CSE-CUET
1076,ME-KUET
1077,CSE-RUET
1078,EEE-RUET
1079,EEE-RUET
1080,CSE-RUET
1081,EEE-CUET
1082,CSE-CUET
1083,EEE-RUET
1084,CSE-CUET
1085,CE-CUET
1086,CSE-CUET
1087,EEE-RUET
1088,CE-KUET
1089,EEE-CUET
1090,EEE-CUET
1091,EEE-RUET
1092,CE-RUET
1094,EEE-CUET
1095,CSE-CUET
1096,EEE-CUET
1097,EEE-CUET
1098,EEE-CUET
1099,CSE-CUET
1100,ME-KUET
1101,ME-KUET
1103,ME-KUET
1104,CSE-CUET
1105,EEE-RUET
1106,ME-KUET
1107,CE-KUET
1108,EEE-RUET
1109,EEE-CUET
1110,CSE-RUET
1111,EEE-CUET
1113,ME-KUET
1114,EEE-CUET
1115,CSE-CUET
1117,CSE-CUET
1118,CSE-RUET
1120,CSE-CUET
1121,CSE-CUET
1122,CE-CUET
1123,CSE-CUET
1124,EEE-CUET
1125,EEE-RUET
1126,EEE-RUET
1127,ME-KUET
1128,EEE-RUET
1129,CE-KUET
1130,EEE-RUET
1131,CSE-CUET
1132,CSE-RUET
1133,ECE-KUET
1134,EEE-RUET
1135,EEE-CUET
1136,CSE-CUET
1137,ME-KUET
1138,CSE-RUET
